features;center_1;center_2
question_1;3,2874999999999988;0,43333333333333135
question_2;2,949999999999998;0,499999999999998
question_3;2,9749999999999996;0,6888888888888882
question_4;2,8249999999999984;0,2888888888888874
question_5;3,1374999999999975;0,12222222222222001
question_6;1,1250000000000004;0,4111111111111118
question_7;1,0375000000000003;0,011111111111112182
question_8;2,925;0,14444444444444438
question_9;3,0125000000000024;0,07777777777777972
question_10;2,874999999999999;0,42222222222222094
question_11;3,325;0,23333333333333361
question_12;3,0499999999999976;0,411111111111109
question_13;3,2250000000000028;0,6000000000000025
question_14;2,974999999999997;0,3222222222222191
question_15;3,037499999999997;0,2666666666666633
question_16;2,9375000000000036;0,17777777777778114
question_17;3,2749999999999977;0,2111111111111088
question_18;3,075000000000002;0,13333333333333464
question_19;3,3;0,16666666666666652
question_20;2,9875000000000025;0,10000000000000209
question_21;2,7749999999999986;0,15555555555555411
question_22;2,5749999999999984;0,0666666666666651
question_23;2,9125000000000023;0,07777777777777994
question_24;2,9124999999999974;0,26666666666666416
question_25;3,0625000000000013;0,3555555555555563
question_26;2,887500000000003;0,2444444444444469
question_27;2,7874999999999974;0,16666666666666474
question_28;2,6499999999999972;0,11111111111110916
question_29;3,049999999999998;0,11111111111110916
question_30;2,9249999999999976;0,22222222222222054
question_31;3,524999999999999;0,8777777777777767
question_32;3,5249999999999977;0,7555555555555529
question_33;3,487499999999997;0,31111111111110823
question_34;3,374999999999998;0,5888888888888861
question_35;3,4250000000000016;0,11111111111111116
question_36;3,3499999999999996;0,05555555555555425
question_37;3,712499999999998;0,6444444444444419
question_38;3,5250000000000004;0,377777777777778
question_39;3,737499999999998;0,6222222222222196
question_40;3,6499999999999986;0,2888888888888874
question_41;3,662499999999998;0,5111111111111086
question_42;3,4250000000000016;1,0333333333333348
question_43;3,5375000000000014;1,966666666666668
question_44;3,4625000000000026;0,5888888888888912
question_45;3,3625000000000007;1,655555555555555
question_46;3,2249999999999988;1,955555555555554
question_47;3,4375000000000018;1,2333333333333347
question_48;3,5249999999999995;2,0444444444444434
question_49;3,5625000000000027;1,3333333333333355
question_50;3,5750000000000024;1,4111111111111128
question_51;3,4375000000000018;1,622222222222224
question_52;3,5375000000000014;1,6111111111111125
question_53;3,387500000000002;1,2222222222222234
question_54;3,4874999999999976;0,6999999999999973
